release_year,avg_duration
1952,2.0199999809265137
1958,2.740000009536743
1959,3.052000045776367
1960,2.259999990463257
1962,2.696000003814697
1963,3.299999952316284
1964,2.2300000190734863
1965,2.690000057220459
1966,3.051250010728836
1967,2.8854545571587304
1968,5.176666736602783
1969,2.7882352962213406
1970,4.293333265516493
1971,4.394285644803729
1972,4.105000019073486
1973,4.438125006854534
1974,7.544999837875366
1975,6.523000001907349
1976,4.494285787854876
1977,3.934444400999281
1978,3.9950000047683716
1979,4.4480000019073485
1980,3.7100000381469727
1981,3.077999973297119
1982,4.240000009536743
1983,4.7399999618530275
1984,3.7399999648332596
1985,4.569999992847443
1986,4.580833415190379
1987,4.316176491625169
1988,4.42857153075082
1989,4.371428557804653
1990,4.911250054836273
1991,3.890425540031271
1992,3.912666650613149
1993,3.956153860458961
1994,4.620000011780682
1995,4.1507407470985695
1996,4.082962972146493
1997,4.340999976793925
1998,4.1597222619586525
1999,3.890937516465783
2000,3.900677973941221
2001,4.061866668065389
2002,3.8729629788869695
2003,3.7475247666387275
2004,3.8880357380424226
2005,3.837613659826192
2006,3.7232608685026998
2007,3.412844038884574
2008,4.085578952964983
2009,3.7494904584945385
2010,3.910416663189729
2011,3.7541472867939825
2012,3.8966666798742993
2013,3.9130519454355364
2014,3.7141953987636787
2015,3.660548308032611
2016,3.6007446908253304
2017,3.5792576497558946
2018,3.4222796934146533
2019,3.283245970945685
2020,3.2189999986595166
2021,3.3794356751388137
2022,3.115085473936847
2023,3.098049709064099
2024,3.0507716044415663
2025,3.079581698814249
