release_year,total_tracks,avg_popularity
1952,1,45.0000
1958,1,55.0000
1959,5,55.0000
1960,1,47.0000
1962,5,53.0000
1963,1,54.0000
1964,1,71.0000
1965,3,51.3333
1966,8,40.6250
1967,11,43.0909
1968,3,70.3333
1969,17,60.7059
1970,9,51.8889
1971,7,67.8571
1972,4,65.0000
1973,16,64.1250
1974,2,61.5000
1975,10,61.4000
1976,7,72.7143
1977,9,66.0000
1978,10,56.7000
1979,5,76.0000
1980,9,65.0000
1981,5,65.6000
1982,3,81.0000
1983,5,82.0000
1984,8,67.0000
1985,8,62.2500
1986,12,71.5833
1987,34,45.1765
1988,7,47.5714
1989,7,67.4286
1990,8,48.5000
1991,94,32.6064
1992,15,64.8667
1993,52,51.3654
1994,51,55.4314
1995,27,55.0000
1996,27,55.3704
1997,30,59.0333
1998,36,54.7222
1999,64,62.3594
2000,59,61.5424
2001,75,50.4533
2002,81,54.2346
2003,101,54.2475
2004,56,52.6429
2005,88,55.2955
2006,92,56.5000
2007,109,51.9908
2008,95,52.0842
2009,157,49.2229
2010,240,51.0958
2011,258,49.7054
2012,315,51.5556
2013,308,49.9903
2014,348,53.0086
2015,383,53.3812
2016,376,50.9734
2017,458,51.1092
2018,522,54.0670
2019,496,53.7601
2020,480,50.6438
2021,443,52.5937
2022,468,50.8782
2023,523,52.2199
2024,648,53.7037
2025,765,51.7804
